benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
ellipses,3,64,"(24, 16)","(24, 17)",6.559499788590494e-11,1,0.0,0.7557987274512198
ellipses,3,64,"(24, 43)","(24, 44)",2.387362677794027e-10,2,0.0,0.8418655468974202
ellipses,3,64,"(24, 44)","(24, 45)",2.742896538080055e-11,1,0.0,0.26694655949456775
ellipses,3,64,"(24, 45)","(25, 45)",8.01137970652332e-12,1,0.0,0.4257498417784518
ellipses,3,64,"(25, 15)","(26, 15)",1.200511865787472e-09,1,0.0,0.05177210607790812
ellipses,3,64,"(25, 15)","(25, 16)",9.444208983208711e-05,0,9.444208983208711e-05,0.95528457802076
ellipses,3,64,"(25, 45)","(25, 46)",6.6587752529766225e-12,1,0.0,0.6159439967582557
ellipses,3,64,"(25, 46)","(26, 46)",4.494054903680664e-10,1,0.0,0.8362871265311423
ellipses,3,64,"(26, 14)","(27, 14)",1.5378942493350996e-11,1,0.0,0.29802221955128516
ellipses,3,64,"(26, 14)","(26, 15)",1.4249322553299339e-06,0,1.4249322553299339e-06,0.940061802328455
ellipses,3,64,"(26, 46)","(26, 47)",6.098710455078007e-11,1,0.0,0.8704445110851157
ellipses,3,64,"(26, 47)","(26, 48)",0.0009076974473863126,0,0.0009076974473863126,0.002807693435147485
ellipses,3,64,"(26, 48)","(27, 48)",0.8932353858592709,0,0.28734549159923983,1.0
ellipses,3,64,"(27, 13)","(28, 13)",1.495065216401602e-11,2,0.0,0.7492266527081733
ellipses,3,64,"(27, 13)","(27, 14)",2.9475037955456295e-11,1,0.0,0.5004367191653819
ellipses,3,64,"(27, 48)","(28, 48)",0.2189953506500249,0,0.03251252147530162,0.962890625
ellipses,3,64,"(28, 13)","(29, 13)",7.584856224635253e-12,1,0.0,0.380476675207542
ellipses,3,64,"(28, 48)","(28, 49)",2.5698028412651615e-06,0,2.5698028412651615e-06,0.9523078647679267
ellipses,3,64,"(28, 49)","(29, 49)",1.0951416722162156e-11,1,0.0,0.7418727804183709
ellipses,3,64,"(29, 13)","(30, 13)",1.272785966927167e-11,2,0.0,0.17454843499503567
ellipses,3,64,"(29, 49)","(29, 50)",8.811054629680031e-11,1,0.0,0.6115140254608923
ellipses,3,64,"(29, 50)","(30, 50)",1.3630723540744439e-11,1,0.0,0.35900139330058667
ellipses,3,64,"(30, 13)","(31, 13)",8.536734881313309e-12,2,0.0,0.12100131801306362
ellipses,3,64,"(30, 50)","(31, 50)",6.653634865447133e-11,2,0.0,0.8236116557594505
ellipses,3,64,"(31, 13)","(32, 13)",6.42728627684704e-12,2,0.0,0.21351278957874456
ellipses,3,64,"(31, 50)","(31, 51)",3.95263726394935e-12,1,0.0,0.5038770808515118
ellipses,3,64,"(31, 51)","(32, 51)",2.7582747094453624e-11,2,0.0,0.14247106756463837
ellipses,3,64,"(32, 13)","(33, 13)",1.6435322696898953e-11,1,0.0,0.44954404760510897
ellipses,3,64,"(32, 51)","(33, 51)",6.886673005153992e-12,1,0.0,0.31865201447229086
