benchmark,sweep,cases,max_update_displacement_median,max_update_displacement_q25,max_update_displacement_q75,max_net_endpoint_displacement_median,max_net_endpoint_displacement_q25,max_net_endpoint_displacement_q75,max_two_sweep_endpoint_displacement_median,max_two_sweep_endpoint_displacement_q25,max_two_sweep_endpoint_displacement_q75,max_c1_mismatch_after_median,max_c1_mismatch_after_q25,max_c1_mismatch_after_q75,max_area_residual_median,max_area_residual_q25,max_area_residual_q75,misses_median,misses_total,root_branch_switches_median,root_branch_switches_total,multiple_root_updates_median,multiple_root_updates_total
ellipses,8,5,0.005008154602649181,0.0019792480256944703,0.027240754511498322,0.005008154602649029,0.0019792480256910494,0.02724075451149588,0.011874872137649817,0.010940298429140682,0.15609792568395875,0.07862961042916032,0.01005916284566926,0.8572609568771014,2.7755575615628914e-17,1.0299920638612292e-17,1.1102230246251565e-16,2.0,15,0.0,0,43.0,221
ellipses,9,5,0.00696231124337433,0.0006550845141567105,0.013669063812569732,0.006962311243377428,0.0006550845141575223,0.01366906381257138,0.02675372750215388,0.0023413043245525955,0.031006092104938432,0.01726309946750744,0.010060360270584625,0.8932353858592709,1.0299920638612292e-17,5.421010862427522e-18,2.220446049250313e-16,2.0,14,0.0,0,43.0,221
ellipses,10,5,0.8519731336835529,0.003386395017244276,0.9246845823189619,0.8519731336835576,0.003386395017244581,0.9246845823189602,0.8519730939064658,0.013660891590348001,0.9246845213927415,0.4828126617279813,0.43739129422579637,0.8932353858592709,1.9081958235744878e-17,2.117582368135751e-21,2.220446049250313e-16,2.0,18,1.0,3,42.0,218
ellipses,11,5,0.11475479266136995,0.0008565941471614952,0.12022490342768516,0.11475479266137256,0.0008565941471658789,0.12022490342768322,0.8262665675130023,0.0035967807726677847,0.8651771155008703,0.08790251758705696,0.07507213689100038,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,17,0.0,2,44.0,224
ellipses,12,5,0.012461984978210609,0.0002499015557714396,0.015914006336167776,0.012461984978216378,0.0002499015557688722,0.015914006336167574,0.11453430298627865,0.0009205118974762172,0.11488022142042809,0.019565248687526734,0.01658758974864915,0.8932353858592709,1.1102230246251565e-16,2.117582368135751e-21,2.220446049250313e-16,2.0,16,0.0,0,44.0,224
ellipses,13,5,0.0008243192220074719,0.0002908681412528216,0.0028792728489327596,0.0008243192220049878,0.00029086814125633964,0.0028792728489364094,0.012933444168496067,0.00029086814125633964,0.01566401209536039,0.01614470345179092,0.0077656599440734135,0.8932353858592709,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,13,0.0,0,44.0,224
ellipses,14,5,0.0005963488952964377,0.0002810544878816229,0.0009645108427503053,0.0005963488953000251,0.00028105448788195986,0.0009645108427491778,0.0008243192220049878,0.0005963488953000251,0.0028792728489364094,0.0161447036319841,0.003049603223574905,0.8932353858592709,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,14,0.0,0,44.0,224
ellipses,15,5,0.00021511821391394237,1.8778615423070688e-05,0.0002463995677846019,0.00021511821391584363,1.8778615423542533e-05,0.0002463995677857156,0.0005963488953000251,0.00028154189245555017,0.0010704593959260933,0.016144703701973896,0.003067574526618194,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,14,0.0,0,44.0,224
ellipses,16,5,1.657340663995671e-05,8.595010776539513e-06,5.212422020187124e-05,1.657340663996365e-05,8.59501077599134e-06,5.212422020406393e-05,0.00026724243411990756,2.241876769915052e-05,0.0002779313456926502,0.3610218007897639,0.016144703735816,0.8932353858592709,1.1102230246251565e-16,6.245004513516506e-17,2.220446049250313e-16,2.0,18,0.0,1,43.0,223
ellipses,17,5,6.029018427642502e-05,1.3650819374010081e-05,0.0001514377617233692,6.029018427966548e-05,1.365081937620971e-05,0.00015143776172266143,6.414113499886298e-05,6.029018427966548e-05,0.00015143776172266143,0.05044967024877799,0.01614462285737975,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,13,0.0,0,45.0,225
ellipses,18,5,5.2210110017411e-05,3.2717510851086075e-05,0.0006308145613156957,5.221011001665943e-05,3.27175108516542e-05,0.0006308145613189708,0.00015143776172266143,7.387440762585129e-05,0.0006308145613189708,0.010899596884372592,0.007649716251784746,0.8932353858592709,1.1102230246251565e-16,2.7755575615628914e-17,1.1102230246251565e-16,2.0,13,0.0,0,45.0,225
ellipses,19,5,9.528394715550143e-05,7.481963780020355e-06,0.0002443368070046206,9.528394715374588e-05,7.48196378097532e-06,0.0002443368070004226,9.528394715374588e-05,4.019947463262952e-05,0.0006308145613189708,0.0037251498281580973,0.0026917487716245194,0.8932353858592709,1.1102230246251565e-16,8.673617379884035e-18,2.220446049250313e-16,1.0,12,0.0,0,45.0,225
ellipses,20,5,5.404104691931859e-06,1.7627077438311933e-06,3.6746489240715476e-05,5.404104697959156e-06,1.762707743324654e-06,3.674648924345547e-05,9.528394715374588e-05,7.520736335919764e-06,0.0002444504740708453,0.003727833902711052,0.0011518289858555189,0.8932353858592709,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,21,5,2.171409633697219e-06,6.675869120530142e-07,2.540590664777166e-06,2.171409633433541e-06,6.675869101968601e-07,2.5405906640685316e-06,6.650220598203305e-06,2.430294653521514e-06,3.687029384025209e-05,0.0037280171184120763,0.0005132379632013358,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,22,5,2.151445418520359e-05,1.400062955327075e-07,6.136531816151349e-05,2.1514454186188914e-05,1.4000629278143606e-07,6.136531816025581e-05,2.1514454186188914e-05,7.699786053194657e-07,0.000144621719790905,0.0017653427341019696,0.000243176089852718,0.8932353858592709,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.0,15,0.0,0,45.0,225
ellipses,23,5,1.6112588386782423e-06,2.15331212062575e-08,8.31163991673288e-06,1.6112588383521143e-06,2.1533118399474915e-08,8.311639916769309e-06,2.1514454186188914e-05,1.6153941118091097e-07,7.752829459306554e-05,0.001773055125189391,0.00016239954377038438,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,2.220446049250313e-16,2.0,15,0.0,0,45.0,225
ellipses,24,5,2.6070407464773293e-07,3.2891899273690406e-09,5.041383161624724e-07,2.607040698876517e-07,3.289187588961795e-09,5.041383168702396e-07,1.871962908239766e-06,2.482230598843671e-08,8.340076469437463e-06,0.0017730652488148898,0.00016239553798306933,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,5.551115123125783e-17,2.0,16,0.0,0,45.0,225
ellipses,25,5,9.125573621412975e-08,7.506505833587696e-10,8.706218260646353e-07,9.12557354126875e-08,7.506457677664002e-10,8.706218252996223e-07,5.940368019707876e-07,3.795086911395629e-09,4.727571784712836e-06,0.0008471042041497477,0.0001623942703614636,0.8932353858592709,1.1102230246251565e-16,2.117582368135751e-21,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
