benchmark,case_index,cells_per_side,sweep,updates,misses,multiple_root_updates,root_branch_switches,max_update_displacement,mean_update_displacement,max_net_endpoint_displacement,max_two_sweep_endpoint_displacement,mean_c1_mismatch_before,max_c1_mismatch_before,mean_c1_mismatch_after,max_c1_mismatch_after,max_area_residual
circles,0,64,53,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,54,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,55,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,56,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,57,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,58,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,59,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,60,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,61,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,62,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,63,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,64,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,65,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,66,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,67,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,68,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,69,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,70,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,71,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,72,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,73,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,74,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,75,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,76,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,77,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,78,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,79,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,80,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,81,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,82,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,83,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,84,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,85,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,86,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,87,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,88,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,89,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,90,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,91,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,92,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,93,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,94,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,95,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,96,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,97,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,98,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,0,64,99,45,3,18,0,5.91630910928842e-11,1.7785405430425444e-12,5.915978817938594e-11,0.0,9.729507623392547e-06,0.0003650719599146091,9.729522623971704e-06,0.0003650719691262367,0.0
circles,0,64,100,45,3,18,0,5.915979511827985e-11,1.7784962112203805e-12,5.915978817938594e-11,0.0,9.729522623971704e-06,0.0003650719691262367,9.729507623392547e-06,0.0003650719599146091,0.0
circles,1,64,1,49,1,17,0,0.04288778824943233,0.020942472496092625,0.042887788249430514,0.0,0.17544097769647687,0.9057038648190665,0.03979687052884376,0.37359328516716905,0.0
circles,1,64,2,49,1,18,1,0.02173376797991438,0.005303480042325207,0.021733767979917218,0.055221392721250595,0.03979687052884376,0.37359328516716905,0.01103446786771027,0.18759891941900766,0.0
circles,1,64,3,49,1,18,0,0.004020593616138428,0.0011367481086222483,0.004020593616139934,0.022636380940113554,0.01103446786771027,0.18759891941900766,0.005479223501726789,0.18692670737111097,0.0
circles,1,64,4,49,1,18,0,0.0008593933803021335,0.0003124421082751244,0.0008593933803027198,0.004859725571598972,0.005479223501726789,0.18692670737111097,0.004166533236888762,0.18683251474836265,0.0
circles,1,64,5,49,1,18,0,0.0003118837976876128,8.420659042375676e-05,0.00031188379768565255,0.0011712771779883724,0.004166533236888762,0.18683251474836265,0.0038520931678748494,0.1868164832359466,0.0
circles,1,64,6,49,1,18,0,0.00010211400471782026,2.453164778010963e-05,0.00010211400471860088,0.00041399780240425343,0.0038520931678748494,0.1868164832359466,0.0037691131512167402,0.18681360091952637,0.0
circles,1,64,7,50,0,18,0,0.010147305434938213,0.00023024316616403938,0.010147305434941245,0.010147305434941245,0.0037691131512167402,0.18681360091952637,0.0017522446687459458,0.08465453009252036,0.0
circles,1,64,8,49,1,18,0,0.0014227414728980282,4.403995581177438e-05,0.0014227414729006682,0.010147305434941245,0.0017522446687459458,0.08465453009252036,0.0008707973786221414,0.04226464075611567,0.0
circles,1,64,9,50,0,18,1,1.3190467126164784,0.0343153552288092,1.3190467126164762,1.3204694540893769,0.0008707973786221414,0.04226464075611567,0.009799455996061985,0.29052885464806166,2.220446049250313e-16
circles,1,64,10,50,0,19,1,0.3956712172468851,0.010545851078724841,0.3956712172468855,0.9233754953695907,0.009799455996061985,0.29052885464806166,0.002429709787022038,0.04756244309773592,0.0
