method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message,conservative_fallback_cells,unresolved_events,joins,c1_updates,c1_misses,curvature_updates,vertex_jumps,sweeps_completed,sweep_converged,policy_json,unresolved_json
QUASI,QUASI (frozen Cartesian port),lines,3,42,64,1.5625,1.7807491659999997,125,123,2,0,0,0,1.0648707274722702,1.0648707274722702,0.0,0.0,1,0.0,0.0,0.2541388934384027,2.3550361302035432e-07,20.09298505802767,125,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,123,1144,86,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((0, 2), (1, 2))""]"
QUASI,QUASI (frozen Cartesian port),lines,3,42,128,0.78125,3.6423354580000016,249,247,2,0,0,0,0.5300836210550217,0.5300836210550217,0.0,0.0,1,0.0,0.0,1.2468756493510162,3.01461491023643e-07,134.08330635532607,249,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""angle"": 0.7539822368615504, ""p_left"": [50.76113970199035, 50.78606430527695], ""p_right"": [50.961139701990355, 50.97387680644045]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,247,2285,185,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((0, 4), (1, 4))""]"
QUASI,QUASI (frozen Cartesian port),lines,4,42,32,3.125,0.7228046669999983,53,51,2,0,0,0,1.8754226469933866,1.8754226469933866,0.0,0.0,1,8.3790416952842e-18,4.440892098500626e-16,0.1552134344168022,0.018106005449077495,1.1685294463794613,53,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,51,508,2,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((25, 31), (26, 31))""]"
QUASI,QUASI (frozen Cartesian port),lines,4,42,64,1.5625,1.477628750000001,105,103,2,0,0,0,0.9455944003177825,0.9455944003177825,0.0,0.0,1,1.5860328923216522e-18,1.1102230246251565e-16,0.2790082598443183,0.02839230232384977,2.3326890370015656,105,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",complete_with_reported_fallback,2,1,103,1025,5,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((51, 63), (52, 63))""]"
QUASI,QUASI (frozen Cartesian port),lines,4,42,128,0.78125,3.17649475,209,209,0,0,0,0,0.47175509063165394,0.47175509063165394,0.0,0.0,0,6.640089860198305e-19,5.551115123125783e-17,0.6140120890507338,0.010525559363328468,37.95222100051228,209,"{""benchmark"": ""lines"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""angle"": 1.0053096491487339, ""p_left"": [50.12811363267554, 50.45038593789557], ""p_right"": [50.328113632675546, 50.7655355098893]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,208,2076,4,1,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),squares,0,42,32,3.125,0.28266800000000103,15,9,6,0,0,0,0.7359671598993037,0.7359671598993037,0.0,0.0,2,7.401486830834377e-18,1.1102230246251565e-16,0.3492176766489538,0.21491675021737006,1.073480228760206,15,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete_with_reported_fallback,6,3,13,130,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((15, 17), (15, 18))"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((17, 16), (18, 16))"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((17, 17), (18, 17))""]"
QUASI,QUASI (frozen Cartesian port),squares,0,42,64,1.5625,0.47238745800000004,31,28,3,0,0,0,0.7843710065051709,0.7843710065051709,0.0,0.0,1,4.476705744456276e-19,1.3877787807814457e-17,0.5343723602638323,0.1644457970852874,3.517425860268919,31,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete_with_reported_fallback,3,2,30,299,1,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((30, 35), (30, 36))"", ""Section 2.5 correction retained the area-preserving local quadratic in (35, 33) (no-common-edge-endpoint)""]"
QUASI,QUASI (frozen Cartesian port),squares,0,42,128,0.78125,0.8419441670000012,61,55,6,0,0,0,0.6422591390549787,0.6422591390549787,0.0,0.0,3,5.687617954022318e-19,2.7755575615628914e-17,0.8760535890556906,0.05359086882579496,9.827571908628022,61,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.773956048555966, 50.43887843975205], ""side_length"": 10.0, ""theta"": 1.3486824587905384, ""vertices"": [[54.54966559017056, 44.46024837448121], [56.75258611382681, 54.21458798136665], [46.99824650694137, 56.417508505022894], [44.795325983285124, 46.66316889813746]]}, ""random_seed"": 42}",complete_with_reported_fallback,6,3,59,589,1,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((60, 71), (60, 72))"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((61, 71), (61, 72))"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((69, 56), (69, 57))""]"
QUASI,QUASI (frozen Cartesian port),squares,1,42,32,3.125,0.14353837499999855,13,10,3,0,0,0,1.1890621616690504,0.48035219871091445,0.0,0.0,1,0.0,0.0,0.29588116612913196,0.11683314692269775,0.8392319864453311,13,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete_with_reported_fallback,3,2,11,110,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 correction retained the area-preserving local quadratic in (17, 16) (no-common-edge-endpoint)"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((17, 17), (18, 17))""]"
QUASI,QUASI (frozen Cartesian port),squares,1,42,64,1.5625,0.41138824999999457,30,26,4,0,0,0,1.488598104377559,1.488598104377559,0.0,0.0,1,1.1564823173178714e-19,3.469446951953614e-18,0.8036159118048346,0.06844163192837502,7.277112404394046,30,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete_with_reported_fallback,4,2,29,290,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}","[""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((35, 34), (36, 34))"", ""Section 2.5 fallback retained a conservative local quadratic for multiply claimed endpoint ((35, 35), (36, 35))""]"
QUASI,QUASI (frozen Cartesian port),squares,1,42,128,0.78125,0.8871822079999987,60,60,0,0,0,0,0.1911966274207354,0.13513344711857647,0.0,0.0,0,3.614007241618348e-21,2.168404344971009e-19,0.3552161384904617,0.011090070577545148,4.513931196868993,60,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.69736802905936, 50.09417734788765], ""side_length"": 10.833333333333334, ""theta"": 1.532504006290015, ""vertices"": [[55.90269789635846, 44.47411537953183], [56.317429997415175, 55.29950721518676], [45.49203816176026, 55.71423931624347], [45.07730606070355, 44.888847480588545]]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,60,600,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),squares,2,42,32,3.125,0.22272541699999948,16,16,0,0,0,0,1.4610351606134964,1.4610351606134964,0.0,0.0,0,2.7755575615628914e-17,4.440892098500626e-16,0.37737764661219464,0.1641014357810195,1.3272945887064111,16,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,16,160,0,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),squares,2,42,64,1.5625,0.43434549999999916,32,32,0,0,0,0,0.7302720230474002,0.7302720230474002,0.0,0.0,0,2.6020852139652106e-18,5.551115123125783e-17,0.6484487401326609,0.20318670220459079,2.664349989687905,32,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,32,316,4,0,0,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
QUASI,QUASI (frozen Cartesian port),squares,2,42,128,0.78125,0.9645253329999974,68,67,0,0,1,0,0.366066071168324,0.366066071168324,0.0,0.0,0,2.597230577371992e-19,1.3877787807814457e-17,0.6464540606834153,0.020814479532835953,5.2269203875268495,67,"{""benchmark"": ""squares"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.76113970199035, 50.78606430527695], ""side_length"": 11.666666666666666, ""theta"": 0.2012404236190981, ""vertices"": [[46.21152170126112, 43.90445609185793], [57.64274791540937, 46.23644630454772], [55.310757702719584, 57.66767251869597], [43.87953148857133, 55.335682306006184]]}, ""random_seed"": 42}",complete_with_reported_fallback,0,0,67,653,7,1,1,10,False,"{""boundary"": ""retain open physical-boundary endpoints"", ""convergence_tolerance"": 1e-11, ""fallback"": ""retain-area-preserving-quadratic"", ""max_sweeps"": 10, ""multiple_root"": ""least displacement from the current predictor"", ""target_neighbor"": ""triggering eligible neighbor, then nearest eligible 8-neighbor; tangent alignment and lexicographic index break ties"", ""update_order"": ""lexicographic Gauss-Seidel""}",[]
