method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message
PLVIRA,PLVIRA,ellipses,1,42,64,1.5625,0.7386968750000023,126,126,0,0,0,0,0.09527436645368154,0.09527436645368154,0.003552376897243728,0.14493457972869095,0,3.1822507454325165e-14,8.288925101851419e-13,0.005734736010107969,0.00027744225584289996,0.3074841702583242,126,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""aspect_ratio"": 1.5625, ""center"": [50.69736802905936, 50.09417734788765], ""major_axis"": 30.0, ""minor_axis"": 19.2, ""theta"": 1.532504006290015}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,1,42,128,0.78125,1.2861156670000042,252,252,0,0,0,0,0.024480785031148877,0.024480785031148877,0.0005766332669386107,0.024516948219062584,0,4.453776267318281e-12,1.1186507276050861e-09,0.005116575772824876,0.00018032250286020499,0.3805205407924778,252,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""aspect_ratio"": 1.5625, ""center"": [50.69736802905936, 50.09417734788765], ""major_axis"": 30.0, ""minor_axis"": 19.2, ""theta"": 1.532504006290015}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,2,42,32,3.125,0.30678695799999645,62,62,0,0,0,0,0.09369852951145911,0.09369852951145911,0.020174820538116135,0.10839038551503677,0,2.558496089719658e-14,6.070699498650356e-13,0.008341528186021543,0.0026881462965191102,0.08729718863561989,62,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""aspect_ratio"": 1.625, ""center"": [50.76113970199035, 50.78606430527695], ""major_axis"": 30.0, ""minor_axis"": 18.46153846153846, ""theta"": 0.2012404236190981}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,2,42,64,1.5625,0.6234056249999966,124,124,0,0,0,0,0.11704436444192072,0.11704436444192072,0.00974125710116642,0.1851815946442521,0,1.72982406253857e-14,3.674838211509268e-13,0.024964670846341797,0.0012919415569217028,0.324307555378067,124,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""aspect_ratio"": 1.625, ""center"": [50.76113970199035, 50.78606430527695], ""major_axis"": 30.0, ""minor_axis"": 18.46153846153846, ""theta"": 0.2012404236190981}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,2,42,128,0.78125,1.2583427080000007,248,248,0,0,0,0,0.050693957606948586,0.050693957606948586,0.0014521812494270457,0.04917127365094842,0,1.8890508460874672e-14,1.6684431614066852e-12,0.016215057509136533,0.00015211257659491703,0.8072268077725013,248,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""aspect_ratio"": 1.625, ""center"": [50.76113970199035, 50.78606430527695], ""major_axis"": 30.0, ""minor_axis"": 18.46153846153846, ""theta"": 0.2012404236190981}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,3,42,32,3.125,0.2926540839999987,60,60,0,0,0,0,0.02602150305395072,0.02602150305395072,0.01424069596038624,0.05552347698050397,0,5.854275397787489e-14,1.334043986389588e-12,0.0016652165879738983,0.0006465415894365539,0.009021016512458138,60,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""aspect_ratio"": 1.6875, ""center"": [50.45038593789557, 50.370798024232585], ""major_axis"": 30.0, ""minor_axis"": 17.77777777777778, ""theta"": 1.455759040285497}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,3,42,64,1.5625,0.5854949579999982,122,122,0,0,0,0,0.01684469868512267,0.01684469868512267,0.0024154969696376636,0.03211708868594343,1,3.571883735752798e-14,2.135402965564026e-12,0.0023986350718760378,0.00028811868128256896,0.08254313867322753,122,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""aspect_ratio"": 1.6875, ""center"": [50.45038593789557, 50.370798024232585], ""major_axis"": 30.0, ""minor_axis"": 17.77777777777778, ""theta"": 1.455759040285497}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,3,42,128,0.78125,1.2440251250000003,244,244,0,0,0,0,0.0504659603719822,0.0504659603719822,0.0011608698104716712,0.05065015921433158,1,1.1556157361404153e-13,1.9960422203979533e-11,0.009404136955196044,9.789877056672752e-05,0.9250218161724375,244,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 3, ""parameters"": {""aspect_ratio"": 1.6875, ""center"": [50.45038593789557, 50.370798024232585], ""major_axis"": 30.0, ""minor_axis"": 17.77777777777778, ""theta"": 1.455759040285497}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,4,42,32,3.125,0.306152333,62,62,0,0,0,0,0.13458306539009143,0.10349603927642835,0.029349541897113085,0.266177671788995,1,1.0193990588934096e-14,9.059419880941277e-14,0.018275586168389903,0.004886061440087446,0.10171581262800337,62,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""aspect_ratio"": 1.75, ""center"": [50.64386512008066, 50.82276161327083], ""major_axis"": 30.0, ""minor_axis"": 17.142857142857142, ""theta"": 0.6965133947666736}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,ellipses,4,42,64,1.5625,0.6062389999999951,124,124,0,0,0,0,0.05119942524055821,0.05119942524055821,0.0023541494072434046,0.05240611199428713,0,1.6668687507744376e-13,1.801225835151854e-11,0.0022561742439173105,0.00024656250716372126,0.17524979174580357,124,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""aspect_ratio"": 1.75, ""center"": [50.64386512008066, 50.82276161327083], ""major_axis"": 30.0, ""minor_axis"": 17.142857142857142, ""theta"": 0.6965133947666736}, ""random_seed"": 42}",complete
